"segment"	"Fp"	"spill"	
1	8.1893799	.38085327	
2	14.87825067	.13912295	
3	13.54252759	.07836579	
4	5.375	.25	
5	10.10462356	.19325038	
6	8.9273391	.33518726	
7	7.9439098	.20185928	
8	1.480409E1	.178677	
9	14.56415871	.14377235	
10	15.24806488	.06833623	
11	13.61508913	.0761117	
12	10.52149546	.19250973	
13	10.34567375	.11148147	
14	13.20632591	.13639803	
15	7.075	.25	
16	10.69668742	.13867454	
17	11.02512073	.14414724	
