"time"	"Cin"	"Cout"	
"sec"	"dimensionless"	"Molar"	
23.4	0	1.247E-4	
23.5	0	1.108E-4	
23.6	0	1.018E-4	
23.7	0	1.018E-4	
23.8	0	1.018E-4	
23.9	0	1.018E-4	
24	0	1.018E-4	
24.1	0	1.018E-4	
24.2	0	1.018E-4	
24.3	0	1.018E-4	
24.4	0	1.018E-4	
24.5	0	1.018E-4	
24.6	0	1.017E-4	
24.7	0	1.015E-4	
24.8	0	1.015E-4	
24.9	0	1.015E-4	
25	0	1.015E-4	
25.1	0	1.015E-4	
25.2	0	1.015E-4	
25.3	0	1.015E-4	
25.4	0	1.015E-4	
25.5	0	1.015E-4	
25.6	0	1.015E-4	
25.7	0	1.015E-4	
25.8	0	1.015E-4	
25.9	0	1.015E-4	
26	0	1.015E-4	
26.1	0	1.007E-4	
26.2	0	9.983E-5	
26.3	0	9.983E-5	
26.4	0	8.39E-5	
26.5	0	3.812E-6	
26.6	0	3.812E-6	
26.7	0	3.793E-6	
26.8	0	3.779E-6	
26.9	0	3.779E-6	
27	0	3.779E-6	
27.1	0	3.779E-6	
27.2	0	3.779E-6	
27.3	0	3.778E-6	
27.4	0	3.778E-6	
27.5	0	3.778E-6	
27.6	0	3.778E-6	
27.7	0	3.777E-6	
27.8	0	3.777E-6	
27.9	0	3.777E-6	
28	0	3.777E-6	
28.1	0	3.777E-6	
28.2	0	3.777E-6	
28.3	0	3.777E-6	
28.4	0	3.777E-6	
28.5	0	2.381E-5	
28.6	0	3.331E-5	
28.7	0	3.328E-5	
28.8	0	3.319E-5	
28.9	0	3.319E-5	
29	0	3.319E-5	
29.1	0	3.319E-5	
29.2	0	3.319E-5	
29.3	0	3.319E-5	
29.4	0	3.319E-5	
29.5	0	3.319E-5	
29.6	0	3.319E-5	
29.7	0	3.297E-5	
29.8	0	2.968E-5	
29.9	0	2.968E-5	
30	0	2.968E-5	
