"time"	"Cin"	"Cout"	
"sec"	"dimensionless"	"Molar"	
15.8	0	.0013	
15.9	0	.0013	
16	0	.0013	
16.1	0	.0013	
16.2	0	.0013	
16.3	0	.0012	
16.4	0	7.623E-4	
16.5	0	1.984E-4	
16.6	0	1.981E-4	
16.7	0	1.964E-4	
16.8	0	1.957E-4	
16.9	0	1.951E-4	
17	0	1.835E-4	
17.1	0	1.802E-4	
17.2	0	1.801E-4	
17.3	0	1.801E-4	
17.4	0	1.801E-4	
17.5	0	1.799E-4	
17.6	0	1.789E-4	
17.7	0	1.785E-4	
17.8	0	1.785E-4	
17.9	0	1.641E-4	
18	0	1.569E-4	
18.1	0	1.558E-4	
18.2	0	1.555E-4	
18.3	0	4.61E-4	
18.4	0	4.9E-4	
18.5	0	3.821E-4	
18.6	0	3.638E-4	
18.7	0	3.637E-4	
18.8	0	3.637E-4	
18.9	0	3.637E-4	
19	0	3.637E-4	
19.1	0	3.635E-4	
19.2	0	3.632E-4	
19.3	0	3.631E-4	
19.4	0	3.63E-4	
19.5	0	3.614E-4	
19.6	0	3.582E-4	
19.7	0	3.579E-4	
19.8	0	3.579E-4	
19.9	0	3.579E-4	
20	0	3.578E-4	
20.1	0	3.578E-4	
20.2	0	3.577E-4	
20.3	0	3.576E-4	
20.4	0	3.576E-4	
20.5	0	3.531E-4	
20.6	0	3.415E-4	
20.7	0	3.415E-4	
20.8	0	3.415E-4	
20.9	0	1.047E-4	
21	0	2.833E-5	
21.1	0	2.827E-5	
21.2	0	2.748E-5	
21.3	0	2.743E-5	
21.4	0	2.741E-5	
21.5	0	2.741E-5	
21.6	0	2.741E-5	
21.7	0	2.741E-5	
21.8	0	2.741E-5	
21.9	0	2.741E-5	
22	0	2.74E-5	
22.1	0	2.739E-5	
22.2	0	2.736E-5	
22.3	0	2.733E-5	
22.4	0	2.732E-5	
22.5	0	2.732E-5	
22.6	0	2.585E-5	
22.7	0	2.526E-5	
22.8	0	2.513E-5	
22.9	0	2.509E-5	
23	0	2.509E-5	
23.1	0	5.145E-5	
23.2	0	1.247E-4	
23.3	0	1.247E-4	
23.4	0	1.247E-4	
23.5	0	1.11E-4	
23.6	0	1.018E-4	
23.7	0	1.018E-4	
23.8	0	1.018E-4	
23.9	0	1.018E-4	
24	0	1.018E-4	
24.1	0	1.018E-4	
24.2	0	1.018E-4	
24.3	0	1.018E-4	
24.4	0	1.018E-4	
24.5	0	1.018E-4	
24.6	0	1.017E-4	
24.7	0	1.015E-4	
24.8	0	1.015E-4	
24.9	0	1.015E-4	
25	0	1.015E-4	
25.1	0	1.015E-4	
25.2	0	1.015E-4	
25.3	0	1.015E-4	
25.4	0	1.015E-4	
25.5	0	1.015E-4	
25.6	0	1.015E-4	
25.7	0	1.015E-4	
25.8	0	1.015E-4	
25.9	0	1.015E-4	
26	0	1.015E-4	
26.1	0	1.007E-4	
26.2	0	9.981E-5	
26.3	0	9.981E-5	
26.4	0	8.45E-5	
26.5	0	3.811E-6	
26.6	0	3.811E-6	
26.7	0	3.792E-6	
26.8	0	3.777E-6	
26.9	0	3.778E-6	
27	0	3.778E-6	
27.1	0	3.778E-6	
27.2	0	3.778E-6	
27.3	0	3.777E-6	
27.4	0	3.777E-6	
27.5	0	3.777E-6	
27.6	0	3.777E-6	
27.7	0	3.776E-6	
27.8	0	3.776E-6	
27.9	0	3.776E-6	
28	0	3.776E-6	
28.1	0	3.776E-6	
28.2	0	3.776E-6	
28.3	0	3.776E-6	
28.4	0	3.776E-6	
28.5	0	2.372E-5	
28.6	0	3.331E-5	
28.7	0	3.327E-5	
28.8	0	3.318E-5	
28.9	0	3.318E-5	
29	0	3.318E-5	
29.1	0	3.318E-5	
29.2	0	3.318E-5	
29.3	0	3.318E-5	
29.4	0	3.318E-5	
29.5	0	3.318E-5	
29.6	0	3.318E-5	
29.7	0	3.299E-5	
29.8	0	2.968E-5	
29.9	0	2.968E-5	
30	0	2.968E-5	
